Year,Beat,crime_counts,avg_response_time
2017,E,7,29.855714285714292
2014,E,24,30.190000000000012
2016,E,18,30.384999999999998
2010,S,27,30.831111111111113
2016,W,3,31.106666666666666
2019,DCC,1,31.47
2017,S,8,31.496250000000007
2015,WS,1,31.58
2011,INV,10,31.591999999999995
2010,N,9,31.664444444444445
2012,HBR,1,31.75
2009,S,21,32.083333333333336
2016,ED,1,32.25
2012,S,49,33.15020408163266
2015,W,5,33.326
2017,W,2,33.75
2013,E,31,34.08967741935484
2013,S,47,34.33021276595745
2010,E,22,34.75
2011,SS,2,34.825
2009,E,8,34.863749999999996
2016,EP,2,34.925
2013,WP,1,36.18
2018,S,13,36.20153846153846
2011,E,21,36.48761904761904
2017,ES,2,36.504999999999995
2014,S,47,37.20744680851064
2017,EP,3,37.35333333333333
2011,S,28,37.40857142857142
2019,EP,2,37.415
2010,TQ,1,37.53
2019,LS,1,37.92
2019,ES,1,38.93
2015,SWT,1,39.13
2018,CS,2,39.489999999999995
2019,GS,2,40.1
2017,CCD,1,42.22
2015,INV,1,43.37
2011,CC,1,45.07
2014,FS,2,45.769999999999996
2014,INV,1,48.23
2013,GS,1,49.52
2014,CS,1,51.78
2019,SS,1,53.2
2015,CMD2,1,55.58
2012,WS,1,59.52
